epoch	time	lr	train loss	train acc	test acc
Namespace(dataset='imagenet', arch='pretrained-vit', outdir='output/pretrained_sigma1.0-run3', path=None, workers=4, epochs=150, batch=1024, lr=0.001, lr_step_size=30, gamma=0.05, use_mixup=False, data_aug=False, momentum=0.9, weight_decay=0.0001, noise_sd=1.0, norm_stats='0.5', gpu=None, print_freq=10)
0	0:0	0.001	6.91	0.196	0.68
1	0:0	0.001	6.9	0.617	0.895
2	0:0	0.001	6.9	0.797	0.871
3	0:0	0.001	6.89	0.709	0.632
4	0:0	0.001	6.87	0.573	0.54
5	0:0	0.001	6.84	0.548	0.554
6	0:0	0.001	6.8	0.627	0.65
7	0:0	0.001	6.75	0.712	0.761
8	0:0	0.001	6.71	0.831	0.867
9	0:0	0.001	6.65	0.98	0.981
10	0:0	0.001	6.59	1.09	1.09
11	0:0	0.001	6.53	1.23	1.23
12	0:0	0.001	6.47	1.4	1.53
13	0:0	0.001	6.4	1.65	1.76
14	0:0	0.001	6.33	1.83	2.01
15	0:0	0.001	6.27	1.98	2.22
16	0:0	0.001	6.2	2.32	2.61
17	0:0	0.001	6.13	2.74	2.95
18	0:0	0.001	6.06	3.02	3.52
19	0:0	0.001	5.99	3.54	3.9
20	0:0	0.001	5.91	3.89	4.35
21	0:0	0.001	5.82	4.41	4.83
22	0:0	0.001	5.74	5.01	5.52
23	0:0	0.001	5.64	5.4	6.25
24	0:0	0.001	5.55	6.07	6.83
25	0:0	0.001	5.47	6.78	7.46
26	0:0	0.001	5.38	7.42	8.04
27	0:0	0.001	5.28	8.13	9.13
28	0:0	0.001	5.2	8.79	9.6
29	0:0	0.001	5.12	9.53	10.6
30	0:0	2.5e-06	5.07	10.0	10.8
31	0:0	5e-05	5.07	9.9	10.7
32	0:0	5e-05	5.06	9.99	10.6
33	0:0	5e-05	5.05	9.9	10.8
34	0:0	5e-05	5.05	9.97	10.9
35	0:0	5e-05	5.05	10.2	10.9
36	0:0	5e-05	5.04	10.2	10.9
37	0:0	5e-05	5.04	10.2	11.0
38	0:0	5e-05	5.03	10.3	11.1
39	0:0	5e-05	5.02	10.2	11.1
40	0:0	5e-05	5.02	10.2	11.1
41	0:0	5e-05	5.02	10.4	11.0
42	0:0	5e-05	5.01	10.4	11.1
43	0:0	5e-05	5.02	10.4	11.2
44	0:0	5e-05	5.02	10.5	11.4
45	0:0	5e-05	5.0	10.5	11.3
46	0:0	5e-05	5.01	10.5	11.4
47	0:0	5e-05	5.0	10.6	11.6
48	0:0	5e-05	4.99	10.6	11.5
49	0:0	5e-05	4.99	10.6	11.5
50	0:0	5e-05	4.99	10.5	11.7
51	0:0	5e-05	4.99	10.8	11.4
52	0:0	5e-05	4.98	10.9	11.5
53	0:0	5e-05	4.98	10.7	11.7
54	0:0	5e-05	4.97	10.8	11.7
55	0:0	5e-05	4.97	10.8	11.8
56	0:0	5e-05	4.95	10.8	11.8
57	0:0	5e-05	4.96	10.8	11.9
58	0:0	5e-05	4.95	11.1	11.8
59	0:0	5e-05	4.95	11.0	11.9
60	0:0	1.25e-07	4.95	11.1	11.9
61	0:0	2.5e-06	4.95	11.0	12.1
62	0:0	2.5e-06	4.95	11.0	12.0
63	0:0	2.5e-06	4.94	11.2	11.9
64	0:0	2.5e-06	4.95	11.1	12.0
65	0:0	2.5e-06	4.95	11.0	12.0
66	0:0	2.5e-06	4.95	11.0	11.9
67	0:0	2.5e-06	4.96	11.0	11.8
68	0:0	2.5e-06	4.95	11.1	12.0
69	0:0	2.5e-06	4.95	11.1	11.7
70	0:0	2.5e-06	4.94	11.0	12.1
71	0:0	2.5e-06	4.95	11.0	12.0
72	0:0	2.5e-06	4.95	11.0	12.1
73	0:0	2.5e-06	4.95	11.2	11.9
74	0:0	2.5e-06	4.95	10.9	12.0
75	0:0	2.5e-06	4.95	11.1	11.9
76	0:0	2.5e-06	4.95	11.2	12.1
77	0:0	2.5e-06	4.95	11.1	12.0
78	0:0	2.5e-06	4.94	11.1	12.0
79	0:0	2.5e-06	4.94	10.9	12.0
80	0:0	2.5e-06	4.95	11.0	12.0
81	0:0	2.5e-06	4.94	11.0	11.8
82	0:0	2.5e-06	4.95	11.1	12.1
83	0:0	2.5e-06	4.94	11.1	12.0
84	0:0	2.5e-06	4.95	10.9	11.9
85	0:0	2.5e-06	4.95	11.0	11.9
86	0:0	2.5e-06	4.95	11.0	12.0
87	0:0	2.5e-06	4.95	11.0	12.2
88	0:0	2.5e-06	4.95	11.0	11.9
89	0:0	2.5e-06	4.94	11.2	11.9
90	0:0	6.25e-09	4.94	11.1	12.0
91	0:0	1.25e-07	4.95	11.2	12.1
92	0:0	1.25e-07	4.95	11.1	12.0
93	0:0	1.25e-07	4.95	11.0	12.0
94	0:0	1.25e-07	4.95	11.0	12.0
95	0:0	1.25e-07	4.94	11.2	12.0
96	0:0	1.25e-07	4.94	11.2	12.0
97	0:0	1.25e-07	4.95	11.2	11.9
98	0:0	1.25e-07	4.95	11.1	11.8
99	0:0	1.25e-07	4.94	11.1	12.0
100	0:0	1.25e-07	4.95	11.1	12.1
101	0:0	1.25e-07	4.94	11.3	12.0
102	0:0	1.25e-07	4.94	11.2	12.0
103	0:0	1.25e-07	4.95	11.1	11.9
104	0:0	1.25e-07	4.95	11.1	11.9
105	0:0	1.25e-07	4.94	11.0	12.0
106	0:0	1.25e-07	4.95	11.1	12.0
107	0:0	1.25e-07	4.95	11.0	12.0
108	0:0	1.25e-07	4.94	11.2	11.9
109	0:0	1.25e-07	4.94	11.1	12.1
110	0:0	1.25e-07	4.94	11.2	12.0
111	0:0	1.25e-07	4.95	11.0	12.0
112	0:0	1.25e-07	4.94	11.2	12.1
113	0:0	1.25e-07	4.94	11.1	12.0
114	0:0	1.25e-07	4.94	11.1	12.0
115	0:0	1.25e-07	4.95	11.1	12.2
116	0:0	1.25e-07	4.94	11.1	11.9
117	0:0	1.25e-07	4.94	11.2	11.8
118	0:0	1.25e-07	4.94	10.9	12.0
119	0:0	1.25e-07	4.94	11.1	12.0
120	0:0	3.13e-10	4.95	11.2	12.0
121	0:0	6.25e-09	4.95	11.0	11.8
122	0:0	6.25e-09	4.94	11.1	11.9
123	0:0	6.25e-09	4.95	11.0	12.0
124	0:0	6.25e-09	4.95	11.0	11.9
125	0:0	6.25e-09	4.95	11.1	11.9
126	0:0	6.25e-09	4.95	11.0	11.9
127	0:0	6.25e-09	4.95	11.1	11.9
128	0:0	6.25e-09	4.94	11.1	12.1
129	0:0	6.25e-09	4.95	11.0	12.1
130	0:0	6.25e-09	4.94	11.1	12.1
131	0:0	6.25e-09	4.95	11.1	12.0
132	0:0	6.25e-09	4.95	11.1	11.9
133	0:0	6.25e-09	4.95	11.2	12.1
134	0:0	6.25e-09	4.95	11.1	11.8
135	0:0	6.25e-09	4.95	11.1	12.0
136	0:0	6.25e-09	4.95	11.1	12.0
137	0:0	6.25e-09	4.95	11.1	12.0
138	0:0	6.25e-09	4.95	11.1	11.9
139	0:0	6.25e-09	4.94	10.9	11.9
140	0:0	6.25e-09	4.94	11.2	11.9
141	0:0	6.25e-09	4.94	11.1	12.1
142	0:0	6.25e-09	4.95	11.1	11.8
143	0:0	6.25e-09	4.95	11.0	12.0
144	0:0	6.25e-09	4.95	11.0	12.0
145	0:0	6.25e-09	4.94	11.2	11.9
146	0:0	6.25e-09	4.94	10.9	12.0
147	0:0	6.25e-09	4.94	11.1	11.9
148	0:0	6.25e-09	4.95	11.1	11.9
149	0:0	6.25e-09	4.94	11.1	12.2
