epoch	time	lr	train loss	train acc	test acc
Namespace(dataset='imagenet', arch='vit', outdir='output/no_aug', workers=4, epochs=400, batch=1024, lr=0.1, lr_step_size=30, gamma=0.05, use_mixup=False, data_aug=False, momentum=0.9, weight_decay=0.0001, noise_sd=0.25, gpu=None, print_freq=10)
0	0:0	0.1	5.84	4.57	8.96
1	0:0	0.1	5.05	10.5	13.4
2	0:0	0.1	4.74	13.8	16.3
3	0:0	0.1	4.54	16.0	18.3
4	0:0	0.1	4.37	17.9	20.3
5	0:0	0.1	4.25	19.3	21.7
6	0:0	0.1	4.15	20.8	22.6
7	0:0	0.1	4.05	21.9	24.1
8	0:0	0.1	3.97	23.1	25.2
9	0:0	0.1	3.9	24.0	26.2
10	0:0	0.1	3.83	24.8	27.1
11	0:0	0.1	3.77	25.7	27.8
12	0:0	0.1	3.72	26.5	28.5
13	0:0	0.1	3.66	27.3	28.9
14	0:0	0.1	3.62	27.9	29.7
15	0:0	0.1	3.57	28.5	30.3
16	0:0	0.1	3.52	29.3	30.9
17	0:0	0.1	3.49	29.9	31.3
18	0:0	0.1	3.45	30.3	31.6
19	0:0	0.1	3.41	30.7	32.4
20	0:0	0.1	3.38	31.4	32.8
21	0:0	0.1	3.35	31.7	32.9
22	0:0	0.1	3.32	32.2	33.0
23	0:0	0.1	3.29	32.7	33.3
24	0:0	0.1	3.26	33.0	33.7
25	0:0	0.1	3.24	33.6	34.2
26	0:0	0.1	3.21	33.9	34.5
27	0:0	0.1	3.2	33.9	34.1
28	0:0	0.1	3.17	34.7	34.6
29	0:0	0.1	3.15	35.0	35.0
30	0:0	0.00025	2.76	41.4	40.2
31	0:0	0.005	2.66	43.2	41.0
32	0:0	0.005	2.6	44.3	41.4
33	0:0	0.005	2.57	44.8	41.7
34	0:0	0.005	2.54	45.5	42.1
35	0:0	0.005	2.52	45.7	42.3
36	0:0	0.005	2.49	46.4	42.4
37	0:0	0.005	2.47	46.6	42.5
38	0:0	0.005	2.46	46.9	42.8
39	0:0	0.005	2.44	47.3	42.8
40	0:0	0.005	2.42	47.4	43.0
41	0:0	0.005	2.4	47.8	43.0
42	0:0	0.005	2.4	47.9	43.2
43	0:0	0.005	2.37	48.4	43.1
44	0:0	0.005	2.37	48.5	43.2
45	0:0	0.005	2.35	48.8	43.3
46	0:0	0.005	2.33	49.0	43.4
47	0:0	0.005	2.31	49.3	43.4
48	0:0	0.005	2.3	49.5	43.6
49	0:0	0.005	2.3	49.9	43.5
50	0:0	0.005	2.28	49.9	43.6
51	0:0	0.005	2.27	49.9	43.6
52	0:0	0.005	2.25	50.3	43.6
53	0:0	0.005	2.24	50.7	43.6
54	0:0	0.005	2.24	50.9	43.6
55	0:0	0.005	2.22	51.1	43.7
56	0:0	0.005	2.21	51.4	43.7
57	0:0	0.005	2.2	51.5	43.5
58	0:0	0.005	2.18	51.8	43.5
59	0:0	0.005	2.17	51.9	43.8
60	0:0	1.25e-05	2.1	53.5	44.6
61	0:0	0.00025	2.09	53.6	44.6
62	0:0	0.00025	2.07	53.8	44.7
63	0:0	0.00025	2.07	54.0	44.7
64	0:0	0.00025	2.08	53.9	44.8
65	0:0	0.00025	2.07	53.9	44.7
66	0:0	0.00025	2.06	54.0	44.7
67	0:0	0.00025	2.06	54.1	44.8
68	0:0	0.00025	2.07	54.1	44.8
69	0:0	0.00025	2.07	54.1	44.8
70	0:0	0.00025	2.05	54.3	44.8
71	0:0	0.00025	2.05	54.2	44.8
72	0:0	0.00025	2.05	54.2	44.8
73	0:0	0.00025	2.06	54.4	44.9
74	0:0	0.00025	2.06	54.3	44.8
75	0:0	0.00025	2.05	54.2	44.9
76	0:0	0.00025	2.05	54.6	44.8
77	0:0	0.00025	2.04	54.5	44.8
78	0:0	0.00025	2.04	54.5	44.8
79	0:0	0.00025	2.04	54.5	44.8
80	0:0	0.00025	2.04	54.6	44.9
81	0:0	0.00025	2.04	54.7	44.9
82	0:0	0.00025	2.03	54.6	44.9
83	0:0	0.00025	2.04	54.4	44.8
84	0:0	0.00025	2.04	54.6	44.9
85	0:0	0.00025	2.03	54.7	44.9
86	0:0	0.00025	2.03	54.8	44.9
87	0:0	0.00025	2.03	54.7	44.9
88	0:0	0.00025	2.03	54.7	44.9
89	0:0	0.00025	2.02	54.9	44.9
90	0:0	6.25e-07	2.02	54.9	44.9
91	0:0	1.25e-05	2.02	54.9	44.9
92	0:0	1.25e-05	2.03	54.8	45.0
93	0:0	1.25e-05	2.03	54.7	44.9
94	0:0	1.25e-05	2.02	55.2	44.9
95	0:0	1.25e-05	2.02	55.1	44.9
96	0:0	1.25e-05	2.01	55.1	44.9
97	0:0	1.25e-05	2.02	54.8	44.9
98	0:0	1.25e-05	2.03	55.0	44.9
99	0:0	1.25e-05	2.04	54.7	44.9
100	0:0	1.25e-05	2.02	54.9	44.9
101	0:0	1.25e-05	2.03	54.9	44.9
102	0:0	1.25e-05	2.02	55.2	45.0
103	0:0	1.25e-05	2.01	55.1	44.9
104	0:0	1.25e-05	2.03	54.7	44.9
105	0:0	1.25e-05	2.02	54.9	44.9
106	0:0	1.25e-05	2.02	55.1	44.9
107	0:0	1.25e-05	2.02	54.7	44.9
108	0:0	1.25e-05	2.02	55.0	45.0
109	0:0	1.25e-05	2.03	54.6	44.9
110	0:0	1.25e-05	2.02	55.0	45.0
111	0:0	1.25e-05	2.02	54.9	44.9
112	0:0	1.25e-05	2.02	54.9	44.9
113	0:0	1.25e-05	2.02	55.0	44.9
114	0:0	1.25e-05	2.02	55.0	45.0
115	0:0	1.25e-05	2.03	54.8	44.9
116	0:0	1.25e-05	2.03	54.7	44.9
117	0:0	1.25e-05	2.02	54.9	44.9
118	0:0	1.25e-05	2.02	55.0	45.0
119	0:0	1.25e-05	2.01	55.1	45.0
120	0:0	3.13e-08	2.02	54.9	45.0
121	0:0	6.25e-07	2.02	55.1	44.9
122	0:0	6.25e-07	2.03	54.9	45.0
123	0:0	6.25e-07	2.02	54.9	45.0
124	0:0	6.25e-07	2.02	55.0	44.9
125	0:0	6.25e-07	2.02	54.8	45.0
126	0:0	6.25e-07	2.02	54.8	45.0
127	0:0	6.25e-07	2.02	54.9	44.9
128	0:0	6.25e-07	2.02	55.1	45.0
129	0:0	6.25e-07	2.03	54.8	44.9
130	0:0	6.25e-07	2.02	54.9	45.0
131	0:0	6.25e-07	2.01	55.1	45.0
132	0:0	6.25e-07	2.01	55.0	44.9
133	0:0	6.25e-07	2.02	54.9	44.9
134	0:0	6.25e-07	2.02	54.8	44.9
135	0:0	6.25e-07	2.02	54.8	45.0
136	0:0	6.25e-07	2.02	54.8	45.0
137	0:0	6.25e-07	2.02	54.9	44.9
138	0:0	6.25e-07	2.03	55.0	45.0
139	0:0	6.25e-07	2.03	54.8	44.9
140	0:0	6.25e-07	2.02	54.9	44.9
141	0:0	6.25e-07	2.03	54.9	45.0
142	0:0	6.25e-07	2.02	54.9	45.0
143	0:0	6.25e-07	2.02	55.0	44.9
144	0:0	6.25e-07	2.02	54.8	45.0
145	0:0	6.25e-07	2.03	54.9	45.0
146	0:0	6.25e-07	2.01	55.2	45.0
147	0:0	6.25e-07	2.03	54.8	45.0
148	0:0	6.25e-07	2.02	55.1	45.0
149	0:0	6.25e-07	2.02	55.0	45.0
150	0:0	1.56e-09	2.03	55.0	45.0
151	0:0	3.13e-08	2.01	55.1	45.0
152	0:0	3.13e-08	2.01	55.2	45.0
153	0:0	3.13e-08	2.02	55.0	44.9
154	0:0	3.13e-08	2.01	55.1	45.0
155	0:0	3.13e-08	2.02	54.9	44.9
156	0:0	3.13e-08	2.02	54.9	45.0
157	0:0	3.13e-08	2.02	54.9	45.0
158	0:0	3.13e-08	2.02	55.0	45.0
159	0:0	3.13e-08	2.0	54.9	45.0
160	0:0	3.13e-08	2.02	54.9	44.9
161	0:0	3.13e-08	2.02	54.9	44.9
162	0:0	3.13e-08	2.02	55.1	44.9
163	0:0	3.13e-08	2.01	55.1	45.0
164	0:0	3.13e-08	2.02	55.0	45.0
165	0:0	3.13e-08	2.01	55.1	45.0
166	0:0	3.13e-08	2.02	54.9	45.0
167	0:0	3.13e-08	2.01	55.1	45.0
168	0:0	3.13e-08	2.02	55.0	45.0
169	0:0	3.13e-08	2.01	55.0	45.0
170	0:0	3.13e-08	2.01	55.1	45.0
171	0:0	3.13e-08	2.02	55.1	44.9
172	0:0	3.13e-08	2.03	55.0	45.0
173	0:0	3.13e-08	2.02	55.0	45.0
174	0:0	3.13e-08	2.03	54.6	45.0
175	0:0	3.13e-08	2.01	55.0	44.9
176	0:0	3.13e-08	2.02	54.8	45.0
177	0:0	3.13e-08	2.01	54.8	45.0
178	0:0	3.13e-08	2.02	54.9	45.0
179	0:0	3.13e-08	2.02	54.8	45.0
180	0:0	7.81e-11	2.02	54.7	44.9
181	0:0	1.56e-09	2.02	54.9	45.0
182	0:0	1.56e-09	2.01	55.1	45.0
183	0:0	1.56e-09	2.02	55.0	44.9
184	0:0	1.56e-09	2.03	54.8	45.0
185	0:0	1.56e-09	2.02	55.0	45.0
186	0:0	1.56e-09	2.02	55.1	44.9
187	0:0	1.56e-09	2.02	55.0	44.9
188	0:0	1.56e-09	2.02	54.8	45.0
189	0:0	1.56e-09	2.02	55.0	45.0
190	0:0	1.56e-09	2.03	54.8	44.9
191	0:0	1.56e-09	2.01	55.2	44.9
192	0:0	1.56e-09	2.03	54.9	44.9
193	0:0	1.56e-09	2.02	55.1	44.9
194	0:0	1.56e-09	2.02	55.0	44.9
195	0:0	1.56e-09	2.02	55.1	44.9
196	0:0	1.56e-09	2.01	55.1	44.9
197	0:0	1.56e-09	2.02	55.0	45.0
198	0:0	1.56e-09	2.02	55.1	44.9
199	0:0	1.56e-09	2.02	55.1	45.0
200	0:0	1.56e-09	2.02	55.1	45.0
201	0:0	1.56e-09	2.02	54.9	44.9
202	0:0	1.56e-09	2.02	55.0	45.0
203	0:0	1.56e-09	2.01	55.0	45.0
204	0:0	1.56e-09	2.01	55.0	45.0
205	0:0	1.56e-09	2.01	55.1	45.0
206	0:0	1.56e-09	2.02	55.1	44.9
207	0:0	1.56e-09	2.02	54.9	45.0
208	0:0	1.56e-09	2.02	54.9	45.0
209	0:0	1.56e-09	2.02	54.8	45.0
210	0:0	3.91e-12	2.02	55.0	44.9
211	0:0	7.81e-11	2.01	55.0	45.0
212	0:0	7.81e-11	2.02	55.0	45.0
213	0:0	7.81e-11	2.03	54.9	45.0
214	0:0	7.81e-11	2.02	54.9	45.0
215	0:0	7.81e-11	2.03	54.7	44.9
216	0:0	7.81e-11	2.02	54.9	45.0
217	0:0	7.81e-11	2.02	54.8	44.9
218	0:0	7.81e-11	2.02	55.1	44.9
219	0:0	7.81e-11	2.02	55.1	45.0
220	0:0	7.81e-11	2.02	54.9	45.0
221	0:0	7.81e-11	2.02	55.0	45.0
222	0:0	7.81e-11	2.02	54.9	45.0
223	0:0	7.81e-11	2.01	55.0	45.0
224	0:0	7.81e-11	2.01	55.1	45.0
225	0:0	7.81e-11	2.03	54.9	45.0
226	0:0	7.81e-11	2.03	54.8	44.9
227	0:0	7.81e-11	2.02	54.8	45.0
228	0:0	7.81e-11	2.02	54.9	44.9
229	0:0	7.81e-11	2.02	55.0	44.9
230	0:0	7.81e-11	2.02	54.9	45.0
231	0:0	7.81e-11	2.02	54.9	45.0
232	0:0	7.81e-11	2.02	54.9	45.0
233	0:0	7.81e-11	2.02	54.9	44.9
234	0:0	7.81e-11	2.02	54.8	44.9
235	0:0	7.81e-11	2.02	55.1	44.9
236	0:0	7.81e-11	2.02	55.0	45.0
237	0:0	7.81e-11	2.03	54.9	45.0
238	0:0	7.81e-11	2.02	54.8	45.0
241	0:0	3.91e-12	2.03	54.8	44.8
242	0:0	3.91e-12	2.02	54.8	45.0
243	0:0	3.91e-12	2.02	54.9	45.0
244	0:0	3.91e-12	2.02	54.7	45.1
245	0:0	3.91e-12	2.02	54.8	45.0
246	0:0	3.91e-12	2.02	54.9	45.0
247	0:0	3.91e-12	2.03	54.9	45.0
248	0:0	3.91e-12	2.02	54.9	45.2
249	0:0	3.91e-12	2.01	54.9	44.9
250	0:0	3.91e-12	2.01	55.1	45.0
251	0:0	3.91e-12	2.02	54.7	45.0
252	0:0	3.91e-12	2.03	54.9	45.0
253	0:0	3.91e-12	2.02	55.1	45.1
254	0:0	3.91e-12	2.02	54.9	45.1
255	0:0	3.91e-12	2.02	54.9	45.3
256	0:0	3.91e-12	2.02	55.0	44.9
257	0:0	3.91e-12	2.02	54.9	44.9
258	0:0	3.91e-12	2.01	55.1	45.1
259	0:0	3.91e-12	2.03	55.0	45.1
260	0:0	3.91e-12	2.02	55.0	44.9
261	0:0	3.91e-12	2.02	55.0	45.2
262	0:0	3.91e-12	2.02	54.9	45.0
263	0:0	3.91e-12	2.02	55.1	45.0
264	0:0	3.91e-12	2.03	54.9	45.2
265	0:0	3.91e-12	2.02	54.9	45.1
266	0:0	3.91e-12	2.02	54.9	45.2
267	0:0	3.91e-12	2.02	55.1	45.1
268	0:0	3.91e-12	2.01	55.0	45.1
269	0:0	3.91e-12	2.02	54.9	45.1
270	0:0	9.77e-15	2.01	55.2	45.0
271	0:0	1.95e-13	2.02	55.1	45.2
272	0:0	1.95e-13	2.03	54.7	44.9
273	0:0	1.95e-13	2.02	55.1	45.1
274	0:0	1.95e-13	2.02	55.2	45.0
275	0:0	1.95e-13	2.03	54.9	45.1
276	0:0	1.95e-13	2.01	55.1	45.1
277	0:0	1.95e-13	2.02	55.0	45.2
278	0:0	1.95e-13	2.02	55.0	45.1
279	0:0	1.95e-13	2.01	55.0	45.2
280	0:0	1.95e-13	2.02	55.0	45.0
281	0:0	1.95e-13	2.02	55.1	45.1
282	0:0	1.95e-13	2.01	55.1	45.1
283	0:0	1.95e-13	2.02	54.9	44.9
284	0:0	1.95e-13	2.02	54.8	44.9
285	0:0	1.95e-13	2.02	54.9	45.0
286	0:0	1.95e-13	2.02	54.7	44.9
287	0:0	1.95e-13	2.03	54.8	45.0
288	0:0	1.95e-13	2.02	54.9	45.0
289	0:0	1.95e-13	2.02	55.0	45.1
290	0:0	1.95e-13	2.01	55.0	45.1
291	0:0	1.95e-13	2.02	55.0	45.1
292	0:0	1.95e-13	2.02	54.9	45.0
293	0:0	1.95e-13	2.02	54.9	44.9
294	0:0	1.95e-13	2.01	55.1	44.9
295	0:0	1.95e-13	2.02	54.9	45.1
296	0:0	1.95e-13	2.01	54.9	45.1
297	0:0	1.95e-13	2.01	55.1	45.0
298	0:0	1.95e-13	2.03	54.7	45.0
299	0:0	1.95e-13	2.02	55.1	45.1
300	0:0	4.88e-16	2.02	55.0	45.2
301	0:0	9.77e-15	2.02	55.0	44.9
302	0:0	9.77e-15	2.02	55.0	45.2
303	0:0	9.77e-15	2.03	54.8	45.1
304	0:0	9.77e-15	2.03	54.9	45.1
305	0:0	9.77e-15	2.02	54.9	45.1
306	0:0	9.77e-15	2.02	54.8	44.9
307	0:0	9.77e-15	2.01	55.0	45.0
308	0:0	9.77e-15	2.02	54.9	45.2
309	0:0	9.77e-15	2.01	55.1	44.9
310	0:0	9.77e-15	2.02	54.9	45.0
311	0:0	9.77e-15	2.02	55.0	45.0
312	0:0	9.77e-15	2.01	55.0	45.1
313	0:0	9.77e-15	2.01	55.2	45.1
314	0:0	9.77e-15	2.02	55.1	44.9
315	0:0	9.77e-15	2.01	55.1	45.1
316	0:0	9.77e-15	2.03	54.9	45.0
317	0:0	9.77e-15	2.02	55.0	45.1
318	0:0	9.77e-15	2.02	54.8	45.1
319	0:0	9.77e-15	2.03	54.8	45.0
320	0:0	9.77e-15	2.03	55.0	45.1
321	0:0	9.77e-15	2.02	55.0	44.9
322	0:0	9.77e-15	2.02	55.0	45.2
323	0:0	9.77e-15	2.02	55.1	45.1
324	0:0	9.77e-15	2.02	54.9	45.0
325	0:0	9.77e-15	2.02	55.0	45.0
326	0:0	9.77e-15	2.03	54.9	45.2
327	0:0	9.77e-15	2.02	54.8	45.0
328	0:0	9.77e-15	2.01	54.9	45.0
329	0:0	9.77e-15	2.01	55.1	45.0
330	0:0	2.44e-17	2.01	55.1	44.9
331	0:0	4.88e-16	2.02	55.1	45.0
332	0:0	4.88e-16	2.03	54.9	45.1
333	0:0	4.88e-16	2.01	55.0	45.0
334	0:0	4.88e-16	2.02	55.0	45.1
335	0:0	4.88e-16	2.02	54.9	45.2
336	0:0	4.88e-16	2.02	55.0	45.0
337	0:0	4.88e-16	2.02	54.7	45.1
338	0:0	4.88e-16	2.03	54.7	45.1
339	0:0	4.88e-16	2.01	55.0	45.0
340	0:0	4.88e-16	2.02	54.9	45.0
341	0:0	4.88e-16	2.03	55.0	45.1
342	0:0	4.88e-16	2.04	54.6	45.0
343	0:0	4.88e-16	2.01	55.3	45.2
344	0:0	4.88e-16	2.02	55.0	45.0
345	0:0	4.88e-16	2.03	54.9	45.0
346	0:0	4.88e-16	2.02	54.9	45.1
347	0:0	4.88e-16	2.02	55.1	45.0
348	0:0	4.88e-16	2.02	55.1	45.1
349	0:0	4.88e-16	2.02	55.0	45.1
350	0:0	4.88e-16	2.01	55.0	44.9
351	0:0	4.88e-16	2.01	55.0	45.2
352	0:0	4.88e-16	2.02	54.9	45.1
353	0:0	4.88e-16	2.02	55.1	45.0
354	0:0	4.88e-16	2.01	54.9	45.1
355	0:0	4.88e-16	2.02	55.1	45.1
356	0:0	4.88e-16	2.02	55.0	45.1
357	0:0	4.88e-16	2.02	55.1	45.0
358	0:0	4.88e-16	2.02	54.7	45.0
359	0:0	4.88e-16	2.03	54.9	45.0
360	0:0	1.22e-18	2.03	55.0	45.1
361	0:0	2.44e-17	2.02	55.1	45.0
362	0:0	2.44e-17	2.02	54.8	45.1
363	0:0	2.44e-17	2.02	55.1	45.0
364	0:0	2.44e-17	2.02	54.8	44.9
