epoch	time	lr	train loss	train acc	test acc
Namespace(dataset='imagenet', arch='vit', outdir='output/no_aug_gamma0.5', workers=4, epochs=400, batch=1024, lr=0.1, lr_step_size=30, gamma=0.5, use_mixup=False, data_aug=False, momentum=0.9, weight_decay=0.0001, noise_sd=0.25, gpu=None, print_freq=10)
0	0:0	0.1	5.82	4.68	8.94
1	0:0	0.1	5.04	10.5	13.5
2	0:0	0.1	4.69	14.0	16.5
3	0:0	0.1	4.47	16.7	18.7
4	0:0	0.1	4.32	18.7	20.7
5	0:0	0.1	4.19	20.0	22.3
6	0:0	0.1	4.09	21.4	23.5
7	0:0	0.1	3.98	22.8	24.9
8	0:0	0.1	3.92	23.7	25.5
9	0:0	0.1	3.85	24.6	26.7
10	0:0	0.1	3.79	25.4	27.5
11	0:0	0.1	3.73	26.2	28.0
12	0:0	0.1	3.67	27.1	28.7
13	0:0	0.1	3.62	27.8	29.1
14	0:0	0.1	3.58	28.6	30.0
15	0:0	0.1	3.52	29.1	30.5
16	0:0	0.1	3.48	29.8	31.3
17	0:0	0.1	3.44	30.4	31.8
18	0:0	0.1	3.41	30.7	31.8
19	0:0	0.1	3.36	31.4	32.4
20	0:0	0.1	3.34	31.9	32.7
21	0:0	0.1	3.32	32.3	32.8
22	0:0	0.1	3.29	32.7	32.8
23	0:0	0.1	3.26	33.0	33.6
24	0:0	0.1	3.22	33.7	33.6
25	0:0	0.1	3.2	33.8	33.9
26	0:0	0.1	3.19	34.3	34.2
27	0:0	0.1	3.15	34.7	34.4
28	0:0	0.1	3.13	35.1	34.3
29	0:0	0.1	3.11	35.3	34.6
30	0:0	0.025	2.86	39.7	37.7
31	0:0	0.05	2.79	40.8	37.5
32	0:0	0.05	2.75	41.4	37.4
33	0:0	0.05	2.73	41.7	38.2
34	0:0	0.05	2.71	42.1	38.0
35	0:0	0.05	2.69	42.4	37.8
36	0:0	0.05	2.67	42.7	37.9
37	0:0	0.05	2.65	43.1	38.0
38	0:0	0.05	2.64	43.0	37.8
39	0:0	0.05	2.61	43.6	37.1
40	0:0	0.05	2.6	43.8	38.0
41	0:0	0.05	2.58	44.2	38.0
42	0:0	0.05	2.55	44.3	38.2
43	0:0	0.05	2.54	44.8	38.0
44	0:0	0.05	2.53	45.0	38.2
45	0:0	0.05	2.52	45.1	38.1
46	0:0	0.05	2.5	45.5	37.9
47	0:0	0.05	2.48	45.8	37.9
48	0:0	0.05	2.47	45.9	37.9
49	0:0	0.05	2.45	46.4	38.0
50	0:0	0.05	2.44	46.4	37.6
51	0:0	0.05	2.43	46.5	37.9
52	0:0	0.05	2.41	47.0	37.2
53	0:0	0.05	2.39	47.1	37.3
54	0:0	0.05	2.4	47.1	37.6
55	0:0	0.05	2.38	47.4	37.3
56	0:0	0.05	2.37	47.8	37.5
57	0:0	0.05	2.35	47.9	37.6
58	0:0	0.05	2.33	48.3	37.6
59	0:0	0.05	2.33	48.3	37.7
60	0:0	0.0125	2.12	52.8	39.7
61	0:0	0.025	2.02	54.8	39.7
62	0:0	0.025	1.98	55.4	39.6
63	0:0	0.025	1.95	56.0	39.5
64	0:0	0.025	1.93	56.3	38.8
65	0:0	0.025	1.91	56.7	38.8
66	0:0	0.025	1.89	57.0	38.6
67	0:0	0.025	1.88	57.3	38.7
68	0:0	0.025	1.88	57.5	38.6
69	0:0	0.025	1.86	57.6	38.3
70	0:0	0.025	1.85	57.8	38.2
71	0:0	0.025	1.85	57.9	38.2
72	0:0	0.025	1.83	58.1	38.1
73	0:0	0.025	1.83	58.2	37.8
74	0:0	0.025	1.82	58.2	37.9
75	0:0	0.025	1.82	58.3	37.9
76	0:0	0.025	1.82	58.2	37.8
77	0:0	0.025	1.82	58.2	37.9
78	0:0	0.025	1.81	58.5	37.0
79	0:0	0.025	1.81	58.3	37.1
80	0:0	0.025	1.81	58.6	37.3
81	0:0	0.025	1.79	58.9	37.2
82	0:0	0.025	1.76	59.1	37.6
83	0:0	0.025	1.77	59.1	37.0
84	0:0	0.025	1.76	59.2	37.5
85	0:0	0.025	1.75	59.5	37.0
86	0:0	0.025	1.75	59.3	37.0
87	0:0	0.025	1.75	59.6	37.2
88	0:0	0.025	1.75	59.5	36.8
89	0:0	0.025	1.74	59.8	36.7
90	0:0	0.00625	1.61	63.0	38.5
91	0:0	0.0125	1.51	65.4	38.5
92	0:0	0.0125	1.48	65.9	38.6
93	0:0	0.0125	1.46	66.5	38.6
94	0:0	0.0125	1.42	67.5	38.2
95	0:0	0.0125	1.4	67.6	38.2
96	0:0	0.0125	1.39	68.0	38.2
97	0:0	0.0125	1.38	68.1	37.9
98	0:0	0.0125	1.36	68.5	37.8
99	0:0	0.0125	1.35	68.8	38.2
100	0:0	0.0125	1.35	68.9	38.2
101	0:0	0.0125	1.33	69.2	38.3
102	0:0	0.0125	1.33	69.2	38.2
103	0:0	0.0125	1.32	69.4	38.1
104	0:0	0.0125	1.31	69.7	37.9
105	0:0	0.0125	1.31	69.9	37.3
106	0:0	0.0125	1.31	69.7	37.3
107	0:0	0.0125	1.31	70.0	37.3
108	0:0	0.0125	1.31	69.6	37.7
109	0:0	0.0125	1.3	70.0	37.4
110	0:0	0.0125	1.28	70.1	37.4
111	0:0	0.0125	1.29	70.4	36.8
112	0:0	0.0125	1.28	70.2	36.8
113	0:0	0.0125	1.28	70.3	37.1
114	0:0	0.0125	1.27	70.6	37.3
115	0:0	0.0125	1.28	70.4	37.2
116	0:0	0.0125	1.27	70.5	36.7
117	0:0	0.0125	1.27	70.5	36.3
118	0:0	0.0125	1.26	70.8	36.3
119	0:0	0.0125	1.26	70.7	36.8
120	0:0	0.00313	1.21	72.1	37.9
121	0:0	0.00625	1.17	73.1	37.9
122	0:0	0.00625	1.13	74.2	38.0
123	0:0	0.00625	1.12	74.4	38.0
124	0:0	0.00625	1.12	74.5	37.8
125	0:0	0.00625	1.09	74.9	38.2
126	0:0	0.00625	1.1	75.0	37.8
127	0:0	0.00625	1.07	75.5	37.7
128	0:0	0.00625	1.07	75.8	37.5
129	0:0	0.00625	1.07	75.6	37.9
130	0:0	0.00625	1.05	75.8	37.9
131	0:0	0.00625	1.04	76.3	38.1
132	0:0	0.00625	1.03	76.5	38.0
133	0:0	0.00625	1.04	76.5	37.8
134	0:0	0.00625	1.03	76.5	37.7
135	0:0	0.00625	1.01	76.8	37.8
136	0:0	0.00625	1.02	76.8	37.6
137	0:0	0.00625	1.03	76.6	37.8
138	0:0	0.00625	1.01	77.1	37.6
139	0:0	0.00625	1.0	77.2	37.3
140	0:0	0.00625	0.991	77.4	38.0
141	0:0	0.00625	1.0	77.3	37.7
142	0:0	0.00625	0.994	77.3	37.2
143	0:0	0.00625	0.986	77.6	37.0
144	0:0	0.00625	0.984	77.6	37.5
145	0:0	0.00625	0.978	77.7	37.6
146	0:0	0.00625	0.964	78.0	37.5
147	0:0	0.00625	0.961	78.2	37.5
148	0:0	0.00625	0.973	77.8	37.5
149	0:0	0.00625	0.977	77.7	37.7
150	0:0	0.00156	0.954	78.4	38.0
151	0:0	0.00313	0.932	79.0	37.7
152	0:0	0.00313	0.916	79.4	37.9
153	0:0	0.00313	0.919	79.3	37.6
154	0:0	0.00313	0.906	79.4	37.9
155	0:0	0.00313	0.906	79.7	38.5
156	0:0	0.00313	0.888	80.1	38.5
157	0:0	0.00313	0.898	79.8	38.2
158	0:0	0.00313	0.895	79.9	38.5
159	0:0	0.00313	0.88	80.1	38.1
160	0:0	0.00313	0.881	80.3	38.2
161	0:0	0.00313	0.87	80.5	38.0
162	0:0	0.00313	0.871	80.3	37.8
163	0:0	0.00313	0.868	80.4	38.0
164	0:0	0.00313	0.863	80.6	38.4
165	0:0	0.00313	0.876	80.4	38.2
166	0:0	0.00313	0.858	80.8	37.9
167	0:0	0.00313	0.844	80.9	38.4
168	0:0	0.00313	0.848	81.0	38.3
169	0:0	0.00313	0.85	81.0	38.0
170	0:0	0.00313	0.847	81.0	38.4
171	0:0	0.00313	0.848	81.0	38.6
172	0:0	0.00313	0.835	81.3	38.3
173	0:0	0.00313	0.83	81.4	38.3
174	0:0	0.00313	0.843	81.2	37.8
175	0:0	0.00313	0.841	81.2	38.2
176	0:0	0.00313	0.827	81.7	38.2
177	0:0	0.00313	0.831	81.3	37.9
178	0:0	0.00313	0.83	81.5	37.8
179	0:0	0.00313	0.816	81.7	38.3
180	0:0	0.000781	0.834	81.3	38.0
181	0:0	0.00156	0.812	81.6	38.0
182	0:0	0.00156	0.812	81.8	38.3
183	0:0	0.00156	0.808	81.8	37.9
184	0:0	0.00156	0.802	82.0	38.2
185	0:0	0.00156	0.798	82.2	38.4
186	0:0	0.00156	0.803	82.2	38.6
187	0:0	0.00156	0.806	82.1	38.9
188	0:0	0.00156	0.796	82.4	38.3
189	0:0	0.00156	0.798	82.1	38.3
