epoch	time	lr	train loss	train acc	test acc
Namespace(dataset='imagenet', arch='vit', outdir='output/aug_mixup', workers=4, epochs=400, batch=1024, lr=0.1, lr_step_size=30, gamma=0.05, use_mixup=True, data_aug=True, momentum=0.9, weight_decay=0.0001, noise_sd=0.25, gpu=None, print_freq=10)
0	0:0	0.1	6.56	0.0	5.53
1	0:0	0.1	6.28	0.0	8.03
2	0:0	0.1	6.14	0.0	9.95
3	0:0	0.1	6.07	0.0	11.4
4	0:0	0.1	6.01	0.0	12.9
5	0:0	0.1	5.95	0.0	13.8
6	0:0	0.1	5.9	0.0	15.0
7	0:0	0.1	5.86	0.0	15.6
8	0:0	0.1	5.84	0.0	16.5
9	0:0	0.1	5.8	0.0	16.9
10	0:0	0.1	5.77	0.0	18.0
11	0:0	0.1	5.74	0.0	18.4
12	0:0	0.1	5.72	0.0	19.2
13	0:0	0.1	5.67	0.0	19.6
14	0:0	0.1	5.67	0.0	20.5
15	0:0	0.1	5.64	0.0	20.5
16	0:0	0.1	5.63	0.0	20.7
17	0:0	0.1	5.59	0.0	21.5
18	0:0	0.1	5.62	0.0	21.6
19	0:0	0.1	5.59	0.0	22.1
20	0:0	0.1	5.58	0.0	22.3
21	0:0	0.1	5.54	0.0	22.7
22	0:0	0.1	5.55	0.0	22.7
23	0:0	0.1	5.51	0.0	23.3
24	0:0	0.1	5.52	0.0	23.0
25	0:0	0.1	5.53	0.0	24.2
26	0:0	0.1	5.49	0.0	24.2
27	0:0	0.1	5.51	0.0	24.5
28	0:0	0.1	5.48	0.0	24.9
29	0:0	0.1	5.46	0.0	25.1
30	0:0	0.00025	5.33	0.0	28.7
31	0:0	0.005	5.3	0.0	29.3
32	0:0	0.005	5.29	0.0	29.7
33	0:0	0.005	5.26	0.0	29.9
34	0:0	0.005	5.21	0.0	30.3
35	0:0	0.005	5.25	0.0	30.4
36	0:0	0.005	5.22	0.0	30.7
37	0:0	0.005	5.23	0.0	30.8
38	0:0	0.005	5.19	0.0	30.9
39	0:0	0.005	5.2	0.0	31.1
40	0:0	0.005	5.17	0.0	31.2
41	0:0	0.005	5.18	0.0	31.3
42	0:0	0.005	5.21	0.0	31.5
43	0:0	0.005	5.15	0.0	31.4
44	0:0	0.005	5.18	0.0	31.6
45	0:0	0.005	5.17	0.0	31.6
46	0:0	0.005	5.15	0.0	31.8
47	0:0	0.005	5.16	0.0	31.9
48	0:0	0.005	5.15	0.0	31.9
49	0:0	0.005	5.14	0.0	32.1
50	0:0	0.005	5.15	0.0	32.1
51	0:0	0.005	5.16	0.0	32.2
52	0:0	0.005	5.15	0.0	32.1
53	0:0	0.005	5.16	0.0	32.3
54	0:0	0.005	5.15	0.0	32.2
55	0:0	0.005	5.15	0.0	32.2
56	0:0	0.005	5.15	0.0	32.5
57	0:0	0.005	5.12	0.0	32.5
58	0:0	0.005	5.12	0.0	32.5
59	0:0	0.005	5.11	0.0	32.7
60	0:0	1.25e-05	5.09	0.0	33.3
61	0:0	0.00025	5.09	0.0	33.4
62	0:0	0.00025	5.1	0.0	33.5
63	0:0	0.00025	5.08	0.0	33.5
64	0:0	0.00025	5.09	0.0	33.5
65	0:0	0.00025	5.11	0.0	33.5
66	0:0	0.00025	5.1	0.0	33.5
67	0:0	0.00025	5.09	0.0	33.6
68	0:0	0.00025	5.07	0.0	33.6
69	0:0	0.00025	5.09	0.0	33.6
70	0:0	0.00025	5.11	0.0	33.6
71	0:0	0.00025	5.1	0.0	33.5
72	0:0	0.00025	5.05	0.0	33.6
73	0:0	0.00025	5.08	0.0	33.6
74	0:0	0.00025	5.09	0.0	33.6
75	0:0	0.00025	5.11	0.0	33.7
76	0:0	0.00025	5.08	0.0	33.6
77	0:0	0.00025	5.11	0.0	33.7
78	0:0	0.00025	5.09	0.0	33.6
79	0:0	0.00025	5.09	0.0	33.7
80	0:0	0.00025	5.07	0.0	33.7
81	0:0	0.00025	5.08	0.0	33.7
82	0:0	0.00025	5.05	0.0	33.7
83	0:0	0.00025	5.1	0.0	33.8
84	0:0	0.00025	5.1	0.0	33.7
85	0:0	0.00025	5.09	0.0	33.7
86	0:0	0.00025	5.07	0.0	33.8
87	0:0	0.00025	5.1	0.0	33.7
88	0:0	0.00025	5.07	0.0	33.8
89	0:0	0.00025	5.09	0.0	33.8
90	0:0	6.25e-07	5.07	0.0	33.8
91	0:0	1.25e-05	5.06	0.0	33.8
92	0:0	1.25e-05	5.07	0.0	33.8
93	0:0	1.25e-05	5.09	0.0	33.8
94	0:0	1.25e-05	5.07	0.0	33.8
95	0:0	1.25e-05	5.08	0.0	33.8
96	0:0	1.25e-05	5.08	0.0	33.8
97	0:0	1.25e-05	5.06	0.0	33.8
98	0:0	1.25e-05	5.05	0.0	33.8
99	0:0	1.25e-05	5.07	0.0	33.8
100	0:0	1.25e-05	5.1	0.0	33.8
101	0:0	1.25e-05	5.07	0.0	33.8
102	0:0	1.25e-05	5.06	0.0	33.8
103	0:0	1.25e-05	5.07	0.0	33.8
104	0:0	1.25e-05	5.08	0.0	33.8
105	0:0	1.25e-05	5.07	0.0	33.9
106	0:0	1.25e-05	5.06	0.0	33.8
107	0:0	1.25e-05	5.08	0.0	33.8
108	0:0	1.25e-05	5.07	0.0	33.8
